Project Key,External ID,Issue Type,Summary,Description,Epic Name,Epic External ID,Story Points,Sprint,Priority,Labels,Acceptance Criteria
ARDA,EPIC-PLT,Epic,Platform Reliability and Security,Establish secure and observable platform foundations for all services,Platform Reliability and Security,,,High,arda-v2 mvp epic platform,
ARDA,EPIC-WEB,Epic,Web App and PWA,Deliver the web client and PWA foundation for mobile warehouse workflows,Web App and PWA,,,High,arda-v2 mvp epic web,
ARDA,EPIC-CAT,Epic,Catalog and Onboarding,Deliver parts suppliers BOM and onboarding capabilities,Catalog and Onboarding,,,High,arda-v2 mvp epic catalog,
ARDA,EPIC-KBN,Epic,Kanban Lifecycle,Implement loop and card lifecycle management and queue feed reliability,Kanban Lifecycle,,,High,arda-v2 mvp epic kanban,
ARDA,EPIC-PROC,Epic,Procurement and Purchase Orders,Implement procurement queue and complete purchase order lifecycle,Procurement and Purchase Orders,,,High,arda-v2 mvp epic procurement,
ARDA,EPIC-REC,Epic,Receiving and Exceptions,Deliver receiving operations and exception handling flows,Receiving and Exceptions,,,High,arda-v2 mvp epic receiving,
ARDA,EPIC-PROD,Epic,Production Management,Deliver work order routing and production execution features,Production Management,,,High,arda-v2 mvp epic production,
ARDA,EPIC-TRN,Epic,Transfer Kanban,Deliver inter facility transfer queue and order lifecycle,Transfer Kanban,,,High,arda-v2 mvp epic transfer,
ARDA,EPIC-REL,Epic,ReLoWiSa and Inventory Inference,Build inference and recommendation services for Kanban optimization,ReLoWiSa and Inventory Inference,,,High,arda-v2 mvp epic relowisa,
ARDA,EPIC-ECOM,Epic,eCommerce API and Sales Workflows,Deliver external API and sales enablement workflows,eCommerce API and Sales Workflows,,,High,arda-v2 mvp epic ecommerce,
ARDA,EPIC-BILL,Epic,Billing and Entitlements,Implement subscription metering and plan feature gates,Billing and Entitlements,,,High,arda-v2 mvp epic billing,
ARDA,EPIC-ANL,Epic,Analytics and Reporting,Deliver executive dashboards exports and search,Analytics and Reporting,,,High,arda-v2 mvp epic analytics,
ARDA,EPIC-OPS,Epic,Launch Hardening and Operations,Prepare production readiness through testing security and release operations,Launch Hardening and Operations,,,High,arda-v2 mvp epic operations,
ARDA,ARDA-101,Story,Centralize card stage transitions,Route all card stage changes through one lifecycle service,,EPIC-PLT,8,Sprint 1 (Weeks 1-2),Highest,arda-v2 mvp sprint-1 lifecycle,All stage transitions call lifecycle service;Invalid transitions are rejected;Transition history rows are always persisted
ARDA,ARDA-102,Story,Publish domain events for lifecycle changes,Emit card and order domain events from all mutation paths,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),Highest,arda-v2 mvp sprint-1 events,card.transition order.created and order.status_changed events are emitted;Event payloads are validated;No duplicate event emission on retries
ARDA,ARDA-103,Story,Add immutable audit logging,Write immutable audit records for all critical write actions,,EPIC-PLT,8,Sprint 1 (Weeks 1-2),Highest,arda-v2 mvp sprint-1 audit,Create update and delete actions are logged;Actor and tenant context are captured;Before and after snapshots are available
ARDA,ARDA-104,Story,Enforce RBAC matrix,Apply role authorization checks across service endpoints,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 security,Unauthorized calls return 403;Role matrix is documented;All persona routes are covered by tests
ARDA,ARDA-105,Story,Create integration test harness,Add integration test framework with seeded tenant fixtures,,EPIC-PLT,8,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 testing,Core services run integration tests in CI;Seed data is deterministic;Critical paths have regression coverage
ARDA,ARDA-106,Story,Add Sentry and service dashboards,Wire error telemetry and service health dashboards,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 observability,Services report structured errors;Health dashboards exist;Alert thresholds are configured
ARDA,ARDA-107,Story,Add idempotency to trigger and queue APIs,Prevent duplicate triggers and duplicate order creation,,EPIC-PLT,5,Sprint 1 (Weeks 1-2),High,arda-v2 mvp sprint-1 reliability,Duplicate requests are safely ignored;Idempotency keys are supported;No duplicate card transitions are created
ARDA,ARDA-108,Story,Standardize API error contract,Return consistent error payload and correlation ID from all services,,EPIC-PLT,3,Sprint 1 (Weeks 1-2),Medium,arda-v2 mvp sprint-1 api,All service errors follow one schema;Correlation ID is returned and logged;Client can map errors reliably
ARDA,ARDA-201,Story,Build role based app shell,Create web shell with auth tenant context and role navigation,,EPIC-WEB,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 web,Authenticated users land on persona dashboards;Navigation is role aware;Tenant switch context is consistent
ARDA,ARDA-202,Story,Implement PWA offline baseline,Enable installable PWA with offline and sync status indicators,,EPIC-WEB,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 pwa,PWA install prompt works;Offline state is visible;Sync status reflects queued operations
ARDA,ARDA-203,Story,Build QR scan screen with offline queue,Create mobile scan workflow that queues scans while offline,,EPIC-WEB,8,Sprint 2 (Weeks 3-4),High,arda-v2 mvp sprint-2 scan,Scan flow works online;Offline scans are queued locally;Queued scans replay successfully when online
